Classifier,Class,Precision,Recall,F1-Score,Dice,IoU,Support,Accuracy,Training_Time
SVM (Poly),Citynight,0.7380952380952381,0.5166666666666667,0.6078431372549019,0.6078431372549019,0.43661971830985913,60,0.644,8.915258169174194
SVM (Poly),ClassicalPainting,0.4838709677419355,0.75,0.5882352941176471,0.5882352941176471,0.4166666666666667,60,0.644,8.915258169174194
SVM (Poly),Cropcycle,0.98,0.8166666666666667,0.8909090909090909,0.8909090909090909,0.8032786885245902,60,0.644,8.915258169174194
SVM (Poly),DeerAntelope,0.5079365079365079,0.5333333333333333,0.5203252032520326,0.5203252032520326,0.3516483516483517,60,0.644,8.915258169174194
SVM (Poly),Desert,0.5625,0.45,0.5,0.5,0.3333333333333333,60,0.644,8.915258169174194
SVM (Poly),Dog,0.2655367231638418,0.7833333333333333,0.39662447257383965,0.39662447257383965,0.24736842105263157,60,0.644,8.915258169174194
SVM (Poly),Doors,0.8909090909090909,0.8166666666666667,0.8521739130434782,0.8521739130434782,0.7424242424242424,60,0.644,8.915258169174194
SVM (Poly),Eagle,0.7090909090909091,0.65,0.6782608695652174,0.6782608695652174,0.5131578947368421,60,0.644,8.915258169174194
SVM (Poly),Elephant,0.6031746031746031,0.6333333333333333,0.6178861788617886,0.6178861788617886,0.4470588235294118,60,0.644,8.915258169174194
SVM (Poly),F1,0.8703703703703703,0.7833333333333333,0.8245614035087719,0.8245614035087719,0.7014925373134329,60,0.644,8.915258169174194
SVM (Poly),Feasts,0.7241379310344828,0.7,0.711864406779661,0.711864406779661,0.5526315789473685,60,0.644,8.915258169174194
SVM (Poly),Flower,0.8064516129032258,0.4166666666666667,0.5494505494505495,0.5494505494505495,0.3787878787878788,60,0.644,8.915258169174194
SVM (Poly),Grass,0.625,0.5,0.5555555555555556,0.5555555555555556,0.38461538461538464,60,0.644,8.915258169174194
SVM (Poly),Group,0.6808510638297872,0.5333333333333333,0.5981308411214953,0.5981308411214953,0.4266666666666667,60,0.644,8.915258169174194
SVM (Poly),Indoor,0.7058823529411765,0.8,0.75,0.75,0.6,60,0.644,8.915258169174194
SVM (Poly),Lion,0.58,0.48333333333333334,0.5272727272727272,0.5272727272727272,0.35802469135802467,60,0.644,8.915258169174194
